document_id,title,business_class,sensitivity,allowed_roles,owner,version,source_uri,dataset,license,sha256
swg21611699,IBM JDBC driver or database insufficiencies cause administration portlets to fail. - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21611699.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,749be136e61eb51e9360c34e046b84fbda3c89cd4594258577614e058ebad099
swg22011689,IBM Security Bulletin: Apache Commons FileUpload Vulnerabilities in IBM WebSphere MQ File Transfer Edition component (CVE-2016-1000031) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg22011689.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,ad39d7abe41413680e46e51d14917979b66338d1141b6095f5d639e98d3f5fe6
swg21964202,IBM How Connect TDWC 9.3 to TWS Engine lower level release - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21964202.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,b1c5f1b0b50bd224a2e59fa2acb19db414dadfffca8d0beb64293640f921bb18
swg21406783,"IBM When a Certificate Authority (CA) signs a certificate using SHA2(SHA-256), IBM Websphere DataPower SOA Appliance can validate the signature of CA on certificate. - United States",security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21406783.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,0a13e5b3c240738d63edc9d8b606c14555e826ad407158f7cc3fb18cd8420853
swg21318593,IBM Handling 302 redirect error message in a Web Application Firewall - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21318593.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,4c51807269e9ba9ea40062d85501c90acd82d93575cbfe4fdbba33d0e08aa352
swg21660890,IBM Using -Xgc:preferredHeapBase with -Xcompressedrefs - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21660890.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,dbbcbb55b210b3e3cb229b10440454d15c9b5303dba938e245da0b626d7f18eb
swg22005055,IBM Security Bulletin: IBM MQ Appliance is affected by a Network Security Services (NSS) vulnerability (CVE-2017-5461) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg22005055.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,a1d1bc64f832c2bf51bef420ec95ec87cbcf83df0e778e0a1880913f51005967
swg21998655,IBM Security Bulletin: Malicious File Download vulnerability in IBM Business Process Manager (BPM) and WebSphere Lombardi Edition (WLE) - CVE-2016-9693 - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21998655.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,2574ce7b902d043bcf372e36f153a811d33a712a8ff72d0128bd758b8f3ca7e7
swg22012345,IBM Security Bulletin: Potential Privilege Escalation in WebSphere Application Server Admin Console (CVE-2017-1731) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg22012345.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,3183f6ec3c693960d684b3e877d80387cc548820e0539b3d0749cd779154f452
swg21502037,IBM Unable to add Centera Device in FileNet Content  Engine - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21502037.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,11abd81aa7aaaf201de0b0e7b43cd7cc2a0739a796e940659bd2f9dc2944bdf3
swg21445430,IBM Automated data collection capability provided by wpcollector tool - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21445430.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,847fe322e9c27107e7dff9657b9c2fb0e3e15747867a3cd28a69f9b74c234931
swg1PI37248,IBM PI37248: A PROPERTY FILE BASED CONFIGURATION (PFBC) FILE MIGHT FAIL TO AP PLY. - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg1PI37248.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,c447599a879249fcf4cdbf83583c54ccc2bf708ae22fe87b9aee2d67936509b9
swg24039235,IBM Operational Decision Manager V8.5.1.2 Fix Pack - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg24039235.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,7e1f25dac32194a189b53835a37a91c9f465417340905875c9776c93caacc1e2
swg27045339,IBM WebSphere SDK Java Technology Edition 8.0 Minimum Supported Operating Systems - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg27045339.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,7bda7aa44e461ac33630e50ad9e72f0887054b59fce7828be22de5f9ad4a5277
swg21636533,IBM Writing Verbose GC To A Specified Log In Solaris and HP-UX - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21636533.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,1db6da210c442b048db70f67e3c3532160f589f9f240526542cb73bc01b00257
swg21451229,IBM Rule Team Server/Decision Center is timing out while performing certain operations - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21451229.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,067f1cc7d52f499f3631440fa5f6d74c4f8ddbfbc89892cf7a68e6245ad9e862
swg1PI34677,IBM PI34677: MBEANSTARTER LOADEXTENSIONS FAILED TO LOAD EXTENSION - United States,operations-support,internal,operations,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg1PI34677.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,7f1406497af495083171334a63e7ba89d66da861425f8e174edcdfb3573ce5fb
swg21598779,IBM An unexpected ruleset version is executed - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21598779.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,baa162f93b3837c3f646597d317196068d4124feaa8b6341d9ac34b6b81ecbbb
swg22014367,IBM Security Bulletin: Vulnerabilities in OpenSSL affect WebSphere MQ 5.3 and MQ 8 for HPE NonStop Server (CVE-2017-3735) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg22014367.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,5433184a10615bba3a7298805dfe6f50ed8b4402588fb3a3ae6b86572b6d793b
swg22010832,IBM Action required for IBM Integration Bus Hypervisor Edition V9.0 and WebSphere Message Broker Hypervisor Edition V8.0 for security vulnerabilities in Red Hat Linux - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg22010832.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,6f92a730d56f2852ed467e92f15193a587660f11e6c255c57f81aea007257854
swg21634612,"IBM Use""isolate the resource provider"" to establish data source connections using a different JDBC driver from the same database vendor - United States",security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21634612.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,a20fc9973ad3e7f5051f3d9f92bc8c082ef1e0bca3eaf612b2ff75d7388e4b7d
swg21366662,IBM How to change Siebel connection settings using the  siebel.properties file in WebSphere Adapter for Siebel eBusiness Applications - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21366662.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,20f1b495ff079295440cc2bd28beec40892ac58e85a7ccca63236f508d7e651b
swg21965955,"IBM Security Bulletin: Multiple vulnerabilities in IBM® Java SDK affect WebSphere Application Server that ships with WebSphere Enterprise Service Bus (CVE-2015-2613, CVE-2015-2601, CVE-2015-4749, CVE-2015-2625, CVE-2015-1931) - United States",security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21965955.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,24a5adfa65e860176901f32842a0e8d9a6c613d67ceeb773fde27b8cec94d195
swg21268440,IBM Getting java.io.NotSerializableException when SessionObjectSize counter is enabled - United States,operations-support,internal,operations,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21268440.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,0db08ebc30bdf1b3b029eb973b28a6903c1d37c02dfdc9741aaa3f0e9c749dd5
swg21993043,IBM Security Bulletin: WebSphere Message Broker and IBM Integration Bus are affected by Open Source Tomcat vulnerability (CVE-2016-3092) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21993043.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,e7a58b9887741087d39861751ffbb3c2ca419ebe1a455f47eeb183356b0950d7
swg21067352,IBM Too Many Open Files error message - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21067352.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,e6b802fc2a59c61aaad4416353c0d0f806c2e87382c1f1c13c29a0c0fc5f2ac0
swg24039742,IBM Tivoli Business Service Manager V6.1.1 Fix Pack 3(6.1.1-TIV-BSM-FP0003) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg24039742.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,af0f8b8cae543c4c62db26f0be61bd63ee34b4f93db02093508f8d97a4e32399
swg27050456,"IBM Important Information about the WebSphere MQ Configuration Agent, Withdrawn from IBM OMEGAMON for Messaging on z/OS V7.5 - United States",engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg27050456.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,50ddb2e73352915f7b294702199267c91c052ac0faff82b64a293830a8b6d42a
swg21639375,"IBM SCA destinations for IBM Business Process Manager (BPM), WebSphere Process Server (WPS) and WebSphere Enterprise Service Bus (WESB) are not preserved when uninstalling and reinstalling a service module - United States",engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21639375.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,ca5bc0ee1dd15ddd0f2cfaeb8c8566e1cc5227100a06472553165989eca1ad41
swg21968399,IBM Security Bulletin: IBM WebSphere MQ MQXR insecure passwords (CVE-2015-2012) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21968399.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,826136b67fcd25eabebdc8f77c79b5661136b3e7fe68109ea12c5413bca50019
swg21163875,IBM HTTP Session time-out settings and overwrite precedence rules - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21163875.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,6809640686ab2e0015ddd21a1a453979c7038fef01959547786052a5cb13dde8
swg21959745,IBM Security Bulletin: Vulnerability in Diffie-Hellman ciphers affects IBM WebSphere MQ Internet Passthru (CVE-2015-4000) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21959745.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,d864adadfd432aa8f172ff72af9b1cc994a40fb9a5a97946615be44c4771a673
swg22011696,IBM Action required for IBM Integration Bus Hypervisor Edition V9.0 and WebSphere Message Broker Hypervisor Edition V8.0 for security vulnerabilities in Red Hat Linux - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg22011696.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,22691e476bc255463376ddedf73c3eb860f97cef7cb325ef76c64c6e9a2e7174
swg21308281,IBM Installing the Installation Manager on an NFS mounted disk - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21308281.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,3331bbb0ed1a08a014eee1933df28205bda2c9dc91a456d66a06fe7511f38083
swg21624731,IBM JMSExceptions CWSIT0006E and CWSIA0241E on bus connect - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21624731.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,b4ca1a2e709617184a67f87e14c382523f3781202b9dbde1772e15165dc4c083
swg21985013,"IBM Security Bulletin: IBM Integration Bus and WebSphere Message Broker, upon installation, set incorrect permissions for an object on unix platforms ( CVE-2016-0394 ) - United States",security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21985013.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,404d404a4e9004b65327c7a0fa5cf25fadd5db64ad2420da1286d7fac82017e5
swg21426787,IBM Portal upgrades fail during ejbdeploy with 'Error is Platform not running' message - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21426787.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,eb2438803f34b012fab0f7b2bb7197b5d745c8c74aab72e44edf8e19556dee36
swg21695094,"IBM The affect of the auto-update feature for Oracle JDK 7 on IBM Mobile Foundation, IBM Worklight, IBM Worklight Foundation, and IBM MobileFirst Platform Foundation - United States",security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21695094.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,f97eac76832d148f7f3105122e1a98b870f1c1d5f1866c9233fb88a5922322df
swg27023910,IBM WebSphere Portal 7.0.0.2  Combined Cumulative Fix Readme - stand-alone - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg27023910.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,fb719fd10e455ec15911bc9e1fbb683659bc5f5cbcec60393670830f950a7169
swg21512291,IBM WebSphere DataPower M/T 9235 appliance might incorrectly report failure of both power supplies - United States,operations-support,internal,operations,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21512291.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,f52ae9c7d0e045afe10bba8879ec9a7d95264b4fcead0e19b7cb24bc30749ed6
swg21162896,IBM Diagnosing a java.lang.StackOverflowError - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21162896.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,960b5d4fa8f7e9dbaf82c52ae657a289890bb24f9ec4577d578212a58bf12619
swg22003510,IBM Security Bulletin: Incorrect saved channel status enquiry could cause denial of service for IBM MQ (CVE-2017-1236) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg22003510.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,f80201e14fa0d8258f6b1d4e4536e324173d8242e0a34474e1d31303f5e63659
swg21292808,"IBM How to troubleshoot the error ""Failed to process response headers"" - United States",operations-support,internal,operations,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21292808.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,53568781a02e2de8eb21892bf84073535aa3df09912b3c0df2510b522610ed44
swg21994039,IBM How to override the directory location for IBM P8 Content Platform Engine (CPE) logs. - United States,operations-support,internal,operations,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21994039.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,5f4775f80f51ca776d85e573415dd100bcda7419c7285039984d474619527b1a
swg21600618,IBM web server Plugin may need LD_LIBRARY_PATH when used with Apache 2.2 - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21600618.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,4e6eac471382f89924f145ecc3e4f99300eccd4d3e3346f18e9f0cc599b801f9
swg21497604,IBM NoClassDefFoundError running Java class selected from server plugin jar - United States,operations-support,internal,operations,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21497604.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,30281a6224df25505b2207a37360c0bcd90be38c893725c24f40ea07b2663224
swg21975233,IBM Security Bulletin: Vulnerability in MD5 Signature and Hash Algorithm affects WebSphere Message Broker and IBM Integration Bus (CVE-2015-7575) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21975233.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,f067fc247e613a2d9eca659fee85b6f2ee7f084e27f2956aba0ffc9642ec7084
swg21244384,"IBM Using the ""reinitialize"" CLI command to reconfigure an appliance. - United States",engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21244384.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,8686773a55bd87e6e414037581d38a21afc9d96993158b9a8672bd5f946d9ff2
swg21995004,IBM Security Bulletin: The WebAdmin context for WebSphere Message Broker Version 8 allows directory listings (CVE-2016-6080) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21995004.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,40b6cc027132b11b4cefdeeb92bd49da8cc795e646c7d064bad1ae885bb82a7f
swg21618139,IBM Generating Java diagnostic dumps for IBM Integration Bus - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21618139.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,d9c480fd2e71b4a70f49069ec403c1cd9e7e169472c80d3fc427ede8cb39d955
swg21612222,IBM How to Proxy SSL request from DataPower to Remote Proxy Server? - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21612222.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,2bdd147e8304d447702f56fc42c8dee07474c82f532d257b096d2f4e68e75a13
swg22002443,IBM FileNet Workplace XT war and ear files are unusually small - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg22002443.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,b5865c06640638fc8808fa94815393792770ba1391142e5176619bf59d877f8c
swg21249798,IBM MQJMS1068 error occurs when trying to create an XA connection from WebSphere Application Server to MQ - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21249798.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,1947e9002b6baf75991833b0236c9609069281c5cf5318e1277b71cb987d88f8
swg24041394,"IBM PI50993:Apache HTTPComponents vulnerabilities in WebSphere Application Server (CVE-2012-6153, CVE-2014-3577) - United States",security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg24041394.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,109cc720386225fcd5f7ce3fc3bfa0ffd21fbc2093d02850881b4b1f7865d9f9
swg21994741,IBM Learning more about EJBDeploy - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21994741.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,a1aea4cfcfdc994a4fda3f05f38c38ed4976537d9196aec4378619b753acc76b
swg21192604,IBM MustGather: Sessions and session management problems in WebSphere Application Server - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21192604.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,dd47672a16c4a645aed2dfff3c7cccce9bd4cdc25816eed5c216cd79491c9844
swg21985017,IBM Security Bulletin: Integration server  HTTP listener exposes stack trace in WebSphere Message Broker and IBM Integration Bus - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21985017.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,760a2e544eeb0aae816f13fc4367f6d2332c2f6bed2cb34290af65ba6668a632
swg21700633,IBM Security Bulletin: Security vulnerabilities have been identified in IBM DB2 shipped with WebSphere Remote Server (CVE-2014-8730) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21700633.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,413563014d0d3a133b17b0f7a0790a428c08549b61b30c42634717054ec7df96
swg21445801,IBM WCM page and authoring portlet may not display after migration - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21445801.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,1583e21142bbe032646f7abce422473ed9db6a0787956fde8db8f413e1215860
swg21701478,"IBM When attempting to install a second Portal 8.5 instance on the same machine you receive the error, ""ERROR: Error executing the work flow.  Step 'Basic Config' FAILED!"" - United States",engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21701478.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,b05144d27972f330d929cb3c14dbcf0b474c317bd6165ae81cb4205e4d67f71c
swg22013088,IBM Security Bulletin: IBM API Connect is affected by Node.js tough-cookie module vulnerability to a denial of service (CVE-2016-1000232) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg22013088.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,fc2355188714bfa3632119569731ca06bac87978a12e650c4ca4ce9a9d4e3b9d
swg21397335,IBM Using WASServiceCmd to create Windows services for WebSphere Application Servers - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21397335.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,2d5a85a23ae2d0eba0d8e72418b554b2d2fc6b1bd23b3186c89b9ac583e8f79b
swg21365841,IBM EJB WIMServiceHome cannot be found even after .ear file is installed successfully - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21365841.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,f48a93c96e1ef47c97beebf4a9105d1413db61a619989f034944619a6f009c24
